subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,prompt_used,llm_history_context_turns
45,1,1,1,H,-1,0.25,"Casino 1, visit 1: Choose Z or H.",1
45,2,4,1,G,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 1: Choose G or F.",2
45,3,4,2,G,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 2: Choose G or F.",3
45,4,2,1,T,-1,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 1: Choose M or T.",4
45,5,3,1,Q,-1,0.75,"Machine T in Casino 2 delivered -1 points.

Casino 3, visit 1: Choose Q or C.",5
45,6,4,3,G,0,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 4, visit 3: Choose G or F.",6
45,7,4,4,G,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 4: Choose G or F.",7
45,8,2,2,M,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 2: Choose M or T.",8
45,9,1,2,Z,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 1, visit 2: Choose Z or H.",9
45,10,4,5,G,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 5: Choose G or F.",10
45,11,1,3,H,0,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 3: Choose Z or H.",11
45,12,1,4,H,-1,0.25,"Machine H in Casino 1 delivered 0 points.

Casino 1, visit 4: Choose Z or H.",12
45,13,2,3,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 3: Choose M or T.",13
45,14,3,2,C,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 2: Choose Q or C.",14
45,15,3,3,Q,0,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 3, visit 3: Choose Q or C.",15
45,16,1,5,H,0,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 5: Choose Z or H.",16
45,17,3,4,Q,0,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 3, visit 4: Choose Q or C.",17
45,18,2,4,T,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18
45,19,1,6,H,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 6: Choose Z or H.",19
45,20,4,6,G,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 6: Choose G or F.",20
45,21,3,5,Q,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 3, visit 5: Choose Q or C.",21
45,22,3,6,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 6: Choose Q or C.",22
45,23,1,7,H,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 7: Choose Z or H.",23
45,24,3,7,Q,-1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 7: Choose Q or C.",24
45,25,3,8,C,0,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 3, visit 8: Choose Q or C.",25
45,26,3,9,C,-1,0.25,"Machine C in Casino 3 delivered 0 points.

Casino 3, visit 9: Choose Q or C.",26
