subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,prompt_used,llm_history_context_turns
26,1,1,1,Z,-1,0.25,"Casino 1, visit 1: Choose Z or H.",1
26,2,4,1,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 1: Choose G or F.",2
26,3,4,2,F,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 2: Choose G or F.",3
26,4,2,1,M,0,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 1: Choose M or T.",4
26,5,3,1,Q,-1,0.75,"Machine M in Casino 2 delivered 0 points.

Casino 3, visit 1: Choose Q or C.",5
26,6,4,3,F,-1,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 4, visit 3: Choose G or F.",6
26,7,4,4,G,0,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 4, visit 4: Choose G or F.",7
26,8,2,2,M,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 2: Choose M or T.",8
26,9,1,2,H,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 1, visit 2: Choose Z or H.",9
26,10,4,5,G,-1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 5: Choose G or F.",10
26,11,1,3,H,-1,0.25,"Machine G in Casino 4 delivered -1 points.

Casino 1, visit 3: Choose Z or H.",11
26,12,1,4,Z,-1,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 1, visit 4: Choose Z or H.",12
26,13,2,3,T,-1,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 2, visit 3: Choose M or T.",13
26,14,3,2,C,-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 3, visit 2: Choose Q or C.",14
26,15,3,3,Q,0,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 3, visit 3: Choose Q or C.",15
26,16,1,5,H,0,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 5: Choose Z or H.",16
26,17,3,4,Q,0,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 3, visit 4: Choose Q or C.",17
26,18,2,4,M,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18
26,19,1,6,H,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 1, visit 6: Choose Z or H.",19
26,20,4,6,F,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 6: Choose G or F.",20
26,21,3,5,Q,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 3, visit 5: Choose Q or C.",21
26,22,3,6,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 6: Choose Q or C.",22
26,23,1,7,H,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 7: Choose Z or H.",23
26,24,3,7,Q,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 7: Choose Q or C.",24
26,25,3,8,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 8: Choose Q or C.",25
26,26,3,9,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 9: Choose Q or C.",26
26,27,4,7,F,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 7: Choose G or F.",27
26,28,4,8,G,-1,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 4, visit 8: Choose G or F.",28
26,29,2,5,M,-1,0.25,"Machine G in Casino 4 delivered -1 points.

Casino 2, visit 5: Choose M or T.",29
26,30,4,9,F,-1,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 4, visit 9: Choose G or F.",30
26,31,2,6,M,-1,0.25,"Machine F in Casino 4 delivered -1 points.

Casino 2, visit 6: Choose M or T.",31
26,32,1,8,H,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 1, visit 8: Choose Z or H.",32
26,33,2,7,M,0,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 7: Choose M or T.",33
26,34,4,10,F,-1,0.75,"Machine M in Casino 2 delivered 0 points.

Casino 4, visit 10: Choose G or F.",34
26,35,1,9,H,-1,0.25,"Machine F in Casino 4 delivered -1 points.

Casino 1, visit 9: Choose Z or H.",35
26,36,4,11,F,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 11: Choose G or F.",36
26,37,2,8,M,0,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 8: Choose M or T.",37
